message,treatment,argument,profile,line,tweet,filler,test
1,facts,pro,1,1,,"aaa aa aaaaa aaa aaa,aaa aaaaaa aaaaaa aaaa aaa. aaa? aaaa aaaa aaaaaa aaaa. aaaaa aa aa aaaaaa aa aaaa aaaaaa aaaa aaaa aaaaaa aa a aaaaa — aaaa aaaa aaa aaaa aa aaa aaa aaaa aaaaaaa. aaa aaaaa aaaaaaaa aaa aaaa aaaaaa aaaaaaaa.","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
1,facts,pro,1,2,,aaaa aaaa aaaaa aaaaaaa aaaaa aaaaaa. aaaaaa aaaa aaa aaaaaa aaaaaa aaaa aaa aaaa aaaaa aaaaa aaa aaaaa aaaaa aaaaaa aaaaaa.,Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
1,facts,pro,1,3,,"aa aaa aaaaa aaaa aaaaa aaa, aaaa, aa aaaaa aaaaaa aaaa aaaa aaaa aaaaa aaaa. aaaa aaaa aaa a aaaa aaaaaa aaaaa aa aaaa, aaa aaaaaa. #aaaaaaaaa #aaaaaaaaa","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
2,facts,pro,2,1,,"bbb bb bbbbb bbb bbb,bbb bbbbbb bbbbbb bbbb bbb. bbb? bbbb bbbb bbbbbb bbbb. bbbbb bb bb bbbbbb bb bbbb bbbbbb bbbb bbbb bbbbbb bb b bbbbb — bbbb bbbb bbb bbbb bb bbb bbb bbbb bbbbbbb. bbb bbbbb bbbbbbbb bbb bbbb bbbbbb bbbbbbbb.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
2,facts,pro,2,2,,"bbbb bbbb bbbbb bbbbbbb bbbbb bbbbbb. bbbbbb bbbb bbb bbbbbb bbbbbb bbbb bbb bbbb bbbbb bbbbb bbb bbbbb bbbbb bbbbbb bbbbbb.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
2,facts,pro,2,3,,"bb bbb bbbbb bbbb bbbbb bbb, bbbb, bb bbbbb bbbbbb bbbb bbbb bbbb bbbbb bbbb. bbbb bbbb bbb b bbbb bbbbbb bbbbb bb bbbb, bbb bbbbbb. #bbbbbbbbb #bbbbbbbbb","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
3,facts,pro,3,1,,"ccc cc ccccc ccc ccc,ccc cccccc cccccc cccc ccc. ccc? cccc cccc cccccc cccc. ccccc cc cc cccccc cc cccc cccccc cccc cccc cccccc cc c ccccc — cccc cccc ccc cccc cc ccc ccc cccc ccccccc. ccc ccccc cccccccc ccc cccc cccccc cccccccc.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
3,facts,pro,3,2,,"cccc cccc ccccc ccccccc ccccc cccccc. cccccc cccc ccc cccccc cccccc cccc ccc cccc ccccc ccccc ccc ccccc ccccc cccccc cccccc.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
3,facts,pro,3,3,,"cc ccc ccccc cccc ccccc ccc, cccc, cc ccccc cccccc cccc cccc cccc ccccc cccc. cccc cccc ccc c cccc cccccc ccccc cc cccc, ccc cccccc. #ccccccccc #ccccccccc","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
4,facts,pro,4,1,,"ddd dd ddddd ddd ddd,ddd dddddd dddddd dddd ddd. ddd? dddd dddd dddddd dddd. ddddd dd dd dddddd dd dddd dddddd dddd dddd dddddd dd d ddddd — dddd dddd ddd dddd dd ddd ddd dddd ddddddd. ddd ddddd dddddddd ddd dddd dddddd dddddddd.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
