message,treatment,argument,profile,line,tweet,filler
1,facts,pro,1,1,,"aaa aa aaaaa aaa aaa,aaa aaaaaa aaaaaa aaaa aaa. aaa? aaaa aaaa aaaaaa aaaa. aaaaa aa aa aaaaaa aa aaaa aaaaaa aaaa aaaa aaaaaa aa a aaaaa — aaaa aaaa aaa aaaa aa aaa aaa aaaa aaaaaaa. aaa aaaaa aaaaaaaa aaa aaaa aaaaaa aaaaaaaa."
1,facts,pro,1,2,,aaaa aaaa aaaaa aaaaaaa aaaaa aaaaaa. aaaaaa aaaa aaa aaaaaa aaaaaa aaaa aaa aaaa aaaaa aaaaa aaa aaaaa aaaaa aaaaaa aaaaaa.
1,facts,pro,1,3,,"aa aaa aaaaa aaaa aaaaa aaa, aaaa, aa aaaaa aaaaaa aaaa aaaa aaaa aaaaa aaaa. aaaa aaaa aaa a aaaa aaaaaa aaaaa aa aaaa, aaa aaaaaa. #aaaaaaaaa #aaaaaaaaa"
2,facts,pro,2,1,,"bbb bb bbbbb bbb bbb,bbb bbbbbb bbbbbb bbbb bbb. bbb? bbbb bbbb bbbbbb bbbb. bbbbb bb bb bbbbbb bb bbbb bbbbbb bbbb bbbb bbbbbb bb b bbbbb — bbbb bbbb bbb bbbb bb bbb bbb bbbb bbbbbbb. bbb bbbbb bbbbbbbb bbb bbbb bbbbbb bbbbbbbb.,"
2,facts,pro,2,2,,"bbbb bbbb bbbbb bbbbbbb bbbbb bbbbbb. bbbbbb bbbb bbb bbbbbb bbbbbb bbbb bbb bbbb bbbbb bbbbb bbb bbbbb bbbbb bbbbbb bbbbbb.,"
2,facts,pro,2,3,,"bb bbb bbbbb bbbb bbbbb bbb, bbbb, bb bbbbb bbbbbb bbbb bbbb bbbb bbbbb bbbb. bbbb bbbb bbb b bbbb bbbbbb bbbbb bb bbbb, bbb bbbbbb. #bbbbbbbbb #bbbbbbbbb"
3,facts,pro,3,1,,"ccc cc ccccc ccc ccc,ccc cccccc cccccc cccc ccc. ccc? cccc cccc cccccc cccc. ccccc cc cc cccccc cc cccc cccccc cccc cccc cccccc cc c ccccc — cccc cccc ccc cccc cc ccc ccc cccc ccccccc. ccc ccccc cccccccc ccc cccc cccccc cccccccc.,"
3,facts,pro,3,2,,"cccc cccc ccccc ccccccc ccccc cccccc. cccccc cccc ccc cccccc cccccc cccc ccc cccc ccccc ccccc ccc ccccc ccccc cccccc cccccc.,"
3,facts,pro,3,3,,"cc ccc ccccc cccc ccccc ccc, cccc, cc ccccc cccccc cccc cccc cccc ccccc cccc. cccc cccc ccc c cccc cccccc ccccc cc cccc, ccc cccccc. #ccccccccc #ccccccccc"
4,facts,pro,4,1,,"ddd dd ddddd ddd ddd,ddd dddddd dddddd dddd ddd. ddd? dddd dddd dddddd dddd. ddddd dd dd dddddd dd dddd dddddd dddd dddd dddddd dd d ddddd — dddd dddd ddd dddd dd ddd ddd dddd ddddddd. ddd ddddd dddddddd ddd dddd dddddd dddddddd.,"
4,facts,pro,4,2,,"dddd dddd ddddd ddddddd ddddd dddddd. dddddd dddd ddd dddddd dddddd dddd ddd dddd ddddd ddddd ddd ddddd ddddd dddddd dddddd.,"
4,facts,pro,4,3,,"dd ddd ddddd dddd ddddd ddd, dddd, dd ddddd dddddd dddd dddd dddd ddddd dddd. dddd dddd ddd d dddd dddddd ddddd dd dddd, ddd dddddd. #ddddddddd #ddddddddd"
5,facts,pro,5,1,,"eee ee eeeee eee eee,eee eeeeee eeeeee eeee eee. eee? eeee eeee eeeeee eeee. eeeee ee ee eeeeee ee eeee eeeeee eeee eeee eeeeee ee e eeeee — eeee eeee eee eeee ee eee eee eeee eeeeeee. eee eeeee eeeeeeee eee eeee eeeeee eeeeeeee.,"
5,facts,pro,5,2,,"eeee eeee eeeee eeeeeee eeeee eeeeee. eeeeee eeee eee eeeeee eeeeee eeee eee eeee eeeee eeeee eee eeeee eeeee eeeeee eeeeee.,"
5,facts,pro,5,3,,"ee eee eeeee eeee eeeee eee, eeee, ee eeeee eeeeee eeee eeee eeee eeeee eeee. eeee eeee eee e eeee eeeeee eeeee ee eeee, eee eeeeee. #eeeeeeeee #eeeeeeeee"
6,narrative,pro,1,1,,"fff ff fffff fff fff,fff ffffff ffffff ffff fff. fff? ffff ffff ffffff ffff. fffff ff ff ffffff ff ffff ffffff ffff ffff ffffff ff f fffff — ffff ffff fff ffff ff fff fff ffff fffffff. fff fffff ffffffff fff ffff ffffff ffffffff.,"
6,narrative,pro,1,2,,"ffff ffff fffff fffffff fffff ffffff. ffffff ffff fff ffffff ffffff ffff fff ffff fffff fffff fff fffff fffff ffffff ffffff.,"
6,narrative,pro,1,3,,"ff fff fffff ffff fffff fff, ffff, ff fffff ffffff ffff ffff ffff fffff ffff. ffff ffff fff f ffff ffffff fffff ff ffff, fff ffffff. #fffffffff #fffffffff"
